State_name,District_name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Workers,Main_Workers,Marginal_Workers,Sex_Ratio,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate
JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,181664,229064,123837,105227,835.4541428541302,50.51,59.64,39.59
JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,187839,214866,132003,82863,893.636585175899,44.53,52.19,35.96
JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,54394,75079,57125,17954,690.329361411151,70.25,79.57,56.75
JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,48144,51873,28941,22932,810.1433438323584,61.25,72.38,47.5
JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,147408,161393,73247,88146,892.9610677295266,54.89,64.84,43.74
JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,213578,290912,130377,160535,860.1799328798816,56.68,65.0,47.01
JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,214847,200431,142847,57584,890.2728842196934,63.14,70.07,55.35
JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,259475,304200,187959,116241,885.1258478530407,54.08,63.05,43.94
JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,98076,149317,75173,74144,888.6363636363636,47.42,56.36,37.35
JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,262239,407188,330547,76641,899.5291219491219,60.52,66.31,54.1
JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,77346,100890,52949,47941,874.0297379032259,48.17,57.07,37.98
JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,169223,188420,98306,90114,912.3467911445964,52.45,60.85,43.25
JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,80888,87721,54703,33018,950.5788393903869,51.27,58.88,43.28
JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,277733,389684,176800,212884,927.0374995310549,50.57,57.96,42.61
JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,121130,159990,77812,82178,950.5698005698006,49.26,57.46,40.62
JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,133617,151912,79377,72535,918.8077194920451,53.44,64.88,40.99
JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,89622,87212,52051,35161,902.4287208647372,43.73,55.61,30.56
JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,78371,82974,44718,38256,919.8269046727416,46.6,57.17,35.11
JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,183360,243672,152442,91230,869.9963609898108,58.08,66.56,48.34
JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,107833,144767,88462,56305,890.3346729864653,47.84,56.43,38.19
JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,502609,508622,410344,98278,879.9686909037737,74.32,78.88,69.15
JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,114236,92526,74129,18397,885.5869066483764,71.54,77.05,65.32
HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,200231,294035,119632,174403,986.3768559620388,62.39,71.2,53.45
HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,627328,675170,313915,361255,1011.8479971116094,76.33,80.8,71.92
HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,17434,19295,15190,4105,902.8213166144201,69.21,77.75,59.75
HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,188704,269084,193876,75208,942.3336231215513,70.26,77.42,62.66
HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,462825,572671,284154,288517,1007.3223374459157,72.39,79.04,65.79
HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,211348,241931,126153,115778,1095.0292532362832,78.74,83.18,74.69
HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,205217,215346,134482,80864,976.4460051878707,76.7,80.88,72.41
HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,164445,205871,103406,102465,981.469569006661,75.3,80.72,69.78
